Date,Open,High,Low,Close,Adj Close,Volume
2019-09-27,42.959999,43.180000,42.500000,42.840000,41.874165,8005200
2019-09-30,43.070000,43.200001,42.580002,42.669998,41.707993,6213700
2019-10-01,42.509998,42.650002,41.250000,41.380001,40.447083,13437200
2019-10-02,41.040001,41.090000,40.090000,40.230000,39.323006,12052500
2019-10-03,40.049999,40.299999,39.299999,40.250000,39.342556,12293600
2019-10-04,40.340000,40.820000,40.180000,40.779999,39.860603,5631400
2019-10-07,40.599998,41.110001,40.549999,40.680000,39.762863,6323600
2019-10-08,40.049999,40.200001,39.689999,39.820000,38.922253,8309000
2019-10-09,40.189999,40.650002,40.029999,40.439999,39.528271,8955700
2019-10-10,40.860001,41.410000,40.750000,41.049999,40.124516,8207100
2019-10-11,42.000000,42.590000,41.900002,41.930000,40.984676,14914600
2019-10-14,41.770000,42.310001,41.680000,42.250000,41.297462,6644500
2019-10-15,42.389999,42.919998,41.910000,42.529999,41.571152,10112800
2019-10-16,42.590000,43.150002,42.450001,42.790001,41.825291,10088900
2019-10-17,44.369999,44.500000,43.439999,43.439999,42.460632,17965100
2019-10-18,43.529999,43.860001,43.230000,43.660000,42.675674,10493900
2019-10-21,44.080002,45.090000,44.080002,44.980000,43.965916,14244800
2019-10-22,44.849998,45.619999,44.570000,45.380001,44.356899,12366600
2019-10-23,45.130001,45.930000,45.099998,45.910000,44.874947,8328000
2019-10-24,46.000000,46.130001,45.509998,45.759998,44.728333,7469800
2019-10-25,45.700001,46.459999,45.610001,46.369999,45.324577,9576400
2019-10-28,46.490002,47.160000,46.470001,46.840000,45.783985,10276000
2019-10-29,46.529999,46.930000,46.529999,46.830002,45.774208,7773600
2019-10-30,46.259998,46.290001,45.830002,46.259998,45.557545,7101400
2019-10-31,45.950001,46.259998,45.330002,46.049999,45.350735,9414100
2019-11-01,46.520000,47.400002,46.459999,47.330002,46.611301,9765900
2019-11-04,47.990002,49.000000,47.880001,48.830002,48.088528,15965900
2019-11-05,48.970001,49.889999,48.680000,48.750000,48.009735,13894100
2019-11-06,48.740002,48.799999,48.240002,48.560001,47.822624,7872300
2019-11-07,49.119999,49.580002,48.570000,48.660000,47.921104,14501500
2019-11-08,48.639999,49.150002,48.290001,49.150002,48.403667,7966500
2019-11-11,48.860001,49.389999,48.709999,49.090000,48.344574,7107500
2019-11-12,49.070000,49.209999,48.770000,49.009998,48.265789,6400700
2019-11-13,48.520000,48.580002,48.189999,48.389999,47.655205,7022000
2019-11-14,48.320000,48.720001,48.209999,48.610001,47.871864,5836600
2019-11-15,48.869999,49.160000,48.720001,48.990002,48.246094,6439000
2019-11-18,48.840000,49.090000,48.560001,49.029999,48.285484,6446900
2019-11-19,49.220001,49.599998,49.209999,49.330002,48.580933,6980100
2019-11-20,48.959999,49.110001,48.389999,49.099998,48.354420,9138700
2019-11-21,49.250000,49.340000,48.730000,48.840000,48.098373,8353300
2019-11-22,48.939999,49.259998,48.820000,49.250000,48.502148,6609800
2019-11-25,49.349998,49.980000,49.320000,49.959999,49.201363,8461000
2019-11-26,49.919998,49.930000,49.070000,49.410000,48.659714,10360600
2019-11-27,49.630001,49.869999,49.500000,49.779999,49.024097,8614000
2019-11-29,49.700001,49.720001,49.369999,49.480000,48.728653,4138400
2019-12-02,49.580002,49.959999,49.060001,49.080002,48.334728,8117100
2019-12-03,48.410000,48.439999,47.439999,48.110001,47.379456,12217700
2019-12-04,48.360001,49.090000,48.169998,48.840000,48.098373,8608400
2019-12-05,49.139999,49.259998,48.950001,49.070000,48.324875,6680700
2019-12-06,49.840000,50.240002,49.730000,49.799999,49.043793,9487300
2019-12-09,49.529999,49.900002,49.430000,49.599998,48.846832,6382300
2019-12-10,49.529999,49.930000,49.270000,49.669998,48.915768,10009600
2019-12-11,49.660000,49.790001,49.419998,49.450001,48.699108,6296300
2019-12-12,49.650002,50.869999,49.470001,50.689999,49.920277,11553400
2019-12-13,50.740002,51.150002,50.139999,50.240002,49.477116,10191200
2019-12-16,50.770000,51.119999,50.599998,50.720001,49.949825,11007500
2019-12-17,50.820000,51.220001,50.770000,50.900002,50.127094,10446000
2019-12-18,51.000000,51.119999,50.639999,50.660000,49.890736,9513000
2019-12-19,50.650002,51.000000,50.549999,50.860001,50.087700,9222000
2019-12-20,51.439999,51.439999,50.660000,50.689999,49.920277,18742900
2019-12-23,50.910000,51.099998,50.709999,50.720001,49.949825,6547600
2019-12-24,50.830002,50.930000,50.570000,50.689999,49.920277,2087800
2019-12-26,50.970001,51.290001,50.860001,51.110001,50.333904,5517400
2019-12-27,51.330002,51.330002,50.930000,51.090000,50.314205,4116900
2019-12-30,51.360001,51.380001,50.919998,50.959999,50.186176,4532800
2019-12-31,50.959999,51.130001,50.740002,51.119999,50.343750,5131600
2020-01-02,51.200001,52.060001,51.169998,52.040001,51.249779,7808000
2020-01-03,51.220001,51.450001,50.830002,51.200001,50.422535,6706000
2020-01-06,50.669998,51.040001,50.459999,51.020000,50.245266,7476700
2020-01-07,51.040001,51.189999,50.709999,50.919998,50.146782,4538100
2020-01-08,50.959999,51.790001,50.900002,51.570000,50.786915,6185200
2020-01-09,52.169998,52.250000,51.820000,52.060001,51.269478,7308000
2020-01-10,52.150002,52.470001,51.919998,52.209999,51.417198,7686800
2020-01-13,52.209999,52.779999,52.070000,52.779999,51.978539,8334200
2020-01-14,53.060001,53.250000,52.680000,52.860001,52.057331,9602000
2020-01-15,52.480000,52.939999,52.110001,52.939999,52.136112,11342500
2020-01-16,56.049999,57.360001,55.650002,56.439999,55.582966,34590700
2020-01-17,56.259998,57.570000,56.180000,57.509998,56.636719,15403900
2020-01-21,55.880001,56.480000,55.180000,55.919998,55.070858,20833900
2020-01-22,56.180000,56.509998,55.849998,55.860001,55.011772,10276800
2020-01-23,55.220001,55.650002,54.799999,55.529999,54.686783,10064500
2020-01-24,55.529999,55.610001,54.099998,54.549999,53.721664,9752000
2020-01-27,53.000000,53.689999,52.860001,53.110001,52.303532,10649100
2020-01-28,53.799999,54.439999,53.380001,54.020000,53.199715,9232900
2020-01-29,54.480000,54.549999,53.680000,53.680000,52.864876,9027800
2020-01-30,52.610001,53.860001,52.400002,53.820000,53.350601,8685900
2020-01-31,53.200001,53.279999,51.889999,52.259998,51.804203,11286900
2020-02-03,52.639999,53.590000,52.580002,52.599998,52.141239,8375600
2020-02-04,53.750000,54.599998,53.730000,54.020000,53.548859,9375100
2020-02-05,54.860001,55.150002,54.380001,54.990002,54.510399,8237500
2020-02-06,55.430000,55.490002,54.610001,55.009998,54.530220,6976900
2020-02-07,54.610001,55.110001,54.419998,55.029999,54.550045,7588000
2020-02-10,54.680000,55.360001,54.619999,55.349998,54.867256,5115100
2020-02-11,55.740002,56.250000,55.689999,55.779999,55.293507,7120800
2020-02-12,56.220001,56.660000,56.110001,56.180000,55.690018,7130000
2020-02-13,55.799999,55.990002,55.500000,55.930000,55.442200,5718400
2020-02-14,55.900002,56.119999,55.540001,55.840000,55.352982,4579300
2020-02-18,55.799999,55.959999,54.939999,55.520000,55.035774,6897800
2020-02-19,55.860001,56.430000,55.490002,56.310001,55.818886,6075300
2020-02-20,54.000000,55.509998,53.590000,53.750000,53.281212,58533500
2020-02-21,53.500000,53.590000,52.090000,52.419998,51.962811,29536400
2020-02-24,50.310001,50.490002,49.209999,49.680000,49.246708,28670400
2020-02-25,49.980000,50.150002,47.560001,48.029999,47.611099,25568400
2020-02-26,48.220001,48.549999,46.889999,47.240002,46.827991,22286100
2020-02-27,45.740002,47.209999,45.160000,45.410000,45.013950,26813700
2020-02-28,43.869999,45.549999,43.689999,45.029999,44.637264,36983500
2020-03-02,45.110001,46.480000,44.400002,46.480000,46.074615,23234100
2020-03-03,46.369999,46.919998,43.860001,44.400002,44.012760,30206600
2020-03-04,45.160000,45.320000,44.209999,45.240002,44.845436,21938100
2020-03-05,43.509998,43.939999,42.139999,42.590000,42.218544,23950200
2020-03-06,40.509998,42.240002,40.340000,41.840000,41.475086,30898400
2020-03-09,36.849998,39.020000,36.849998,37.500000,37.172939,28177500
2020-03-10,39.810001,39.990002,37.049999,39.500000,39.155495,27111000
2020-03-11,38.230000,38.860001,36.439999,36.869999,36.548431,27376200
2020-03-12,33.910000,34.910000,31.209999,31.309999,31.036924,27964600
2020-03-13,34.270000,37.520000,33.070000,37.500000,37.172939,33305100
2020-03-16,31.070000,35.270000,30.360001,31.650000,31.373959,26789900
2020-03-17,32.369999,35.119999,30.110001,33.790001,33.495296,27047400
2020-03-18,31.340000,32.840000,27.200001,30.750000,30.481810,27603000
2020-03-19,30.350000,32.900002,28.740000,30.920000,30.650326,23929600
2020-03-20,31.250000,31.450001,29.190001,29.670000,29.411228,27472500
2020-03-23,29.150000,29.790001,27.760000,27.809999,27.567450,26401000
2020-03-24,30.090000,33.380001,29.400000,33.220001,32.930267,25905500
2020-03-25,33.900002,35.480000,32.250000,33.990002,33.693554,27198500
2020-03-26,33.799999,36.849998,33.330002,35.709999,35.398548,26422500
2020-03-27,33.639999,34.730000,33.119999,34.009998,33.713375,33375400
2020-03-30,33.529999,35.340000,32.970001,34.840000,34.536137,18046400
2020-03-31,34.529999,35.290001,33.720001,34.000000,33.703465,17122600
2020-04-01,31.680000,32.410000,31.160000,31.620001,31.344223,23755100
2020-04-02,31.340000,34.000000,31.250000,33.900002,33.604336,21656000
2020-04-03,33.560001,34.299999,32.860001,33.849998,33.554771,16926500
2020-04-06,35.930000,37.500000,35.750000,37.009998,36.687210,18788700
2020-04-07,39.660000,39.660000,36.860001,36.939999,36.617821,19536700
2020-04-08,37.709999,39.779999,37.450001,39.369999,39.026627,15376700
2020-04-09,40.259998,41.849998,40.180000,41.080002,40.721718,21904400
2020-04-13,40.880001,41.000000,39.250000,39.580002,39.234798,13369900
2020-04-14,40.509998,40.770000,38.369999,39.860001,39.512356,14471900
2020-04-15,38.209999,39.410000,37.590000,38.400002,38.065090,15590100
2020-04-16,37.860001,38.820000,37.070000,38.360001,38.025436,27913000
2020-04-17,39.549999,40.099998,38.189999,39.090000,38.749069,25074500
2020-04-20,38.189999,39.540001,37.820000,38.360001,38.025436,16573800
2020-04-21,37.299999,38.139999,36.560001,36.950001,36.627735,14134900
2020-04-22,37.869999,38.180000,37.439999,37.810001,37.480236,10455200
2020-04-23,38.099998,38.389999,37.279999,37.470001,37.143200,8694800
2020-04-24,37.970001,38.189999,37.259998,37.970001,37.638840,8571300
2020-04-27,38.639999,39.549999,38.330002,39.310001,38.967152,11619400
2020-04-28,40.570000,41.380001,39.840000,40.130001,39.780003,12778400
2020-04-29,41.099998,41.360001,40.549999,40.790001,40.790001,15880400
2020-04-30,39.900002,40.110001,39.000000,39.430000,39.430000,13420400
2020-05-01,38.349998,38.720001,37.910000,38.400002,38.400002,12806200
2020-05-04,38.000000,38.220001,37.169998,38.090000,38.090000,13985100
2020-05-05,38.980000,39.310001,37.900002,37.980000,37.980000,8951200
2020-05-06,38.470001,38.630001,37.049999,37.299999,37.299999,7817800
2020-05-07,37.759998,39.139999,37.759998,38.810001,38.810001,9348900
2020-05-08,39.509998,40.169998,39.200001,40.080002,40.080002,12097700
2020-05-11,39.380001,40.060001,39.299999,39.830002,39.830002,10100600
2020-05-12,39.970001,40.070000,38.349998,38.419998,38.419998,13605600
2020-05-13,38.150002,38.279999,36.599998,36.990002,36.990002,11565900
2020-05-14,36.259998,37.970001,35.529999,37.810001,37.810001,14986600
2020-05-15,37.259998,37.810001,37.020000,37.290001,37.290001,9175800
2020-05-18,38.919998,40.650002,38.680000,40.279999,40.279999,14727100
2020-05-19,40.099998,40.549999,39.290001,39.330002,39.330002,8895500
2020-05-20,40.070000,41.250000,40.040001,41.060001,41.060001,12031600
2020-05-21,40.770000,40.930000,39.840000,40.299999,40.299999,9654200
2020-05-22,40.230000,40.540001,39.799999,40.130001,40.130001,6468900
2020-05-26,41.869999,43.790001,41.549999,43.689999,43.689999,19709900
2020-05-27,45.779999,46.919998,45.310001,46.860001,46.860001,25892400
2020-05-28,47.250000,47.320000,44.279999,44.400002,44.400002,17615900
2020-05-29,44.009998,44.790001,43.520000,44.200001,44.200001,13102100
2020-06-01,44.520000,45.070000,43.950001,44.700001,44.700001,8649500
2020-06-02,45.180000,46.259998,44.880001,45.580002,45.580002,11179200
2020-06-03,46.980000,47.490002,46.439999,46.910000,46.910000,11253500
2020-06-04,46.709999,48.750000,46.689999,48.689999,48.689999,15279600
2020-06-05,51.299999,51.849998,49.240002,49.529999,49.529999,17976100
2020-06-08,50.520000,50.680000,49.380001,50.150002,50.150002,12150300
2020-06-09,48.720001,50.689999,48.570000,50.400002,50.400002,15090400
2020-06-10,50.029999,50.500000,48.610001,48.689999,48.689999,14770900
2020-06-11,46.130001,47.200001,44.439999,44.570000,44.570000,17961900
2020-06-12,46.759998,46.950001,45.119999,46.279999,46.279999,14090000
2020-06-15,44.660000,47.849998,44.599998,47.400002,47.400002,14758800
2020-06-16,49.439999,49.599998,46.910000,48.560001,48.560001,13551500
2020-06-17,48.700001,48.779999,47.660000,47.759998,47.759998,8673300
2020-06-18,47.119999,48.380001,46.970001,47.580002,47.580002,9825200
2020-06-19,48.459999,48.680000,46.709999,46.930000,46.930000,20962700
2020-06-22,46.799999,47.610001,46.549999,47.380001,47.380001,11657400
2020-06-23,48.270000,48.480000,47.610001,47.889999,47.889999,9672600
2020-06-24,47.590000,47.650002,46.419998,46.950001,46.950001,12806200
2020-06-25,46.709999,48.860001,46.540001,48.790001,48.790001,15014300
2020-06-26,48.299999,48.369999,46.610001,47.049999,47.049999,20082500
2020-06-29,47.570000,47.799999,46.650002,47.240002,47.240002,9380800
2020-06-30,47.060001,48.529999,47.060001,48.299999,48.299999,11894300
2020-07-01,48.410000,49.080002,47.250000,47.610001,47.610001,11363800
2020-07-02,48.860001,49.029999,47.680000,47.790001,47.790001,7488800
2020-07-06,48.869999,49.369999,48.700001,48.820000,48.820000,10645900
